id,sport,original_sport,confidence,conf_gap
769879,Drugo,Atletika,0.3291,0.0035
676606,Nogomet,Atletika,0.3391,0.0036
720021,Atletika,Atletika,0.4329,0.0041
691183,Atletika,Atletika,0.4954,0.0053
750337,Atletika,Atletika,0.2838,0.0061
777377,Nogomet,Atletika,0.2586,0.0061
715613,Atletika,Atletika,0.775,0.0063
738906,Atletika,Atletika,0.8833,0.0063
767102,Drugo,Atletika,0.2489,0.0064
671977,Atletika,Atletika,0.6426,0.0064
777474,Atletika,Atletika,0.8079,0.0066
677241,Kolesarstvo,Atletika,0.2805,0.0069
752405,Atletika,Atletika,0.8019,0.0069
680950,Atletika,Atletika,0.8283,0.0069
717410,Atletika,Atletika,0.7014,0.0071
711374,Atletika,Atletika,0.8373,0.0072
753786,Atletika,Atletika,0.4997,0.0076
722481,Atletika,Atletika,0.4604,0.0076
710375,Atletika,Atletika,0.9303,0.0079
739287,Nogomet,Atletika,0.3119,0.0079
758030,Nogomet,Atletika,0.3254,0.008
720401,Atletika,Atletika,0.7527,0.0081
728483,Atletika,Atletika,0.549,0.0082
756635,Atletika,Atletika,0.6615,0.0086
708828,Atletika,Atletika,0.1956,0.0089
711852,Drugo,Atletika,0.3295,0.0089
774743,Nogomet,Atletika,0.2356,0.009
758243,Atletika,Atletika,0.9271,0.0092
698240,Atletika,Atletika,0.9122,0.0092
738717,Atletika,Atletika,0.8242,0.0095
758660,Nogomet,Atletika,0.4233,0.0096
736537,Atletika,Atletika,0.3881,0.0102
675923,Atletika,Atletika,0.2339,0.0114
757534,Atletika,Atletika,0.5612,0.0115
721456,Atletika,Atletika,0.9383,0.0121
681887,Atletika,Atletika,0.7886,0.0122
763802,Drugo,Atletika,0.5385,0.0127
742754,Atletika,Atletika,0.3662,0.0127
741672,Atletika,Atletika,0.6292,0.0129
757349,Atletika,Atletika,0.4374,0.0129
677237,Atletika,Atletika,0.5156,0.013
698766,Atletika,Atletika,0.4841,0.0131
717586,Atletika,Atletika,0.5461,0.0132
704214,Atletika,Atletika,0.9681,0.0132
711142,Atletika,Atletika,0.7608,0.0133
725721,Atletika,Atletika,0.3792,0.0135
734576,Nogomet,Atletika,0.6412,0.0136
771977,Nogomet,Atletika,0.1598,0.0139
722682,Nogomet,Atletika,0.2308,0.014
711175,Atletika,Atletika,0.5478,0.0141
742605,Atletika,Atletika,0.8835,0.0145
762017,Atletika,Atletika,0.8472,0.0149
698452,Atletika,Atletika,0.6833,0.0152
700179,Atletika,Atletika,0.566,0.0153
699723,Atletika,Atletika,0.3664,0.0155
671962,Nogomet,Atletika,0.3172,0.0156
757680,Atletika,Atletika,0.9298,0.0159
738878,Drugo,Alpsko smučanje,0.2486,0.0014
775744,Alpsko smučanje,Alpsko smučanje,0.5161,0.0037
695535,Alpsko smučanje,Alpsko smučanje,0.7618,0.0051
735321,Alpsko smučanje,Alpsko smučanje,0.8662,0.0052
735312,Alpsko smučanje,Alpsko smučanje,0.789,0.0055
672012,Drugo,Alpsko smučanje,0.4049,0.0058
688404,Alpsko smučanje,Alpsko smučanje,0.9108,0.0059
729292,Alpsko smučanje,Alpsko smučanje,0.846,0.006
708313,Alpsko smučanje,Alpsko smučanje,0.9467,0.006
709227,Alpsko smučanje,Alpsko smučanje,0.7208,0.0062
687431,Alpsko smučanje,Alpsko smučanje,0.8477,0.0062
667557,Alpsko smučanje,Alpsko smučanje,0.3377,0.0062
686513,Alpsko smučanje,Alpsko smučanje,0.5618,0.0067
745340,Alpsko smučanje,Alpsko smučanje,0.7513,0.0071
734512,Alpsko smučanje,Alpsko smučanje,0.5002,0.0071
691989,Alpsko smučanje,Alpsko smučanje,0.8471,0.0073
769577,Alpsko smučanje,Alpsko smučanje,0.5004,0.0074
771126,Alpsko smučanje,Alpsko smučanje,0.531,0.0076
771962,Alpsko smučanje,Alpsko smučanje,0.7219,0.0079
727433,Alpsko smučanje,Alpsko smučanje,0.7754,0.0082
746007,Alpsko smučanje,Alpsko smučanje,0.4998,0.0083
775634,Alpsko smučanje,Alpsko smučanje,0.7544,0.0086
706485,Smučarski skoki,Alpsko smučanje,0.3717,0.0086
731760,Alpsko smučanje,Alpsko smučanje,0.5159,0.0086
693002,Alpsko smučanje,Alpsko smučanje,0.6638,0.0092
722546,Alpsko smučanje,Alpsko smučanje,0.4056,0.0092
668569,Kolesarstvo,Alpsko smučanje,0.1988,0.0093
775076,Alpsko smučanje,Alpsko smučanje,0.8815,0.0095
692999,Alpsko smučanje,Alpsko smučanje,0.644,0.0095
769366,Alpsko smučanje,Alpsko smučanje,0.738,0.0102
767624,Alpsko smučanje,Alpsko smučanje,0.6045,0.0103
737809,Alpsko smučanje,Alpsko smučanje,0.4281,0.0104
740379,Alpsko smučanje,Alpsko smučanje,0.6752,0.0105
731795,Alpsko smučanje,Alpsko smučanje,0.5367,0.0106
738142,Alpsko smučanje,Alpsko smučanje,0.8662,0.0106
770664,Alpsko smučanje,Alpsko smučanje,0.3027,0.0106
774736,Alpsko smučanje,Alpsko smučanje,0.8269,0.0108
727084,Alpsko smučanje,Alpsko smučanje,0.8795,0.0108
767857,Alpsko smučanje,Alpsko smučanje,0.557,0.0109
729119,Alpsko smučanje,Alpsko smučanje,0.6452,0.0113
732883,Alpsko smučanje,Alpsko smučanje,0.3391,0.0115
771862,Alpsko smučanje,Alpsko smučanje,0.9141,0.012
695316,Alpsko smučanje,Alpsko smučanje,0.6455,0.0121
735642,Alpsko smučanje,Alpsko smučanje,0.9377,0.0125
771485,Alpsko smučanje,Alpsko smučanje,0.9293,0.0131
733022,Alpsko smučanje,Alpsko smučanje,0.4758,0.0131
772757,Alpsko smučanje,Alpsko smučanje,0.9079,0.0131
774932,Drugo,Alpsko smučanje,0.4661,0.0132
693916,Alpsko smučanje,Alpsko smučanje,0.586,0.0132
721201,Hokej na ledu,Alpsko smučanje,0.1602,0.0132
767426,Alpsko smučanje,Alpsko smučanje,0.7685,0.0133
772269,Alpsko smučanje,Alpsko smučanje,0.4153,0.0133
690595,Alpsko smučanje,Alpsko smučanje,0.6566,0.0133
755841,Drugo,Alpsko smučanje,0.5996,0.0134
730696,Drugo,Alpsko smučanje,0.271,0.0135
737360,Alpsko smučanje,Alpsko smučanje,0.8006,0.0135
734087,Alpsko smučanje,Alpsko smučanje,0.675,0.0136
768074,Alpsko smučanje,Alpsko smučanje,0.7897,0.0136
767859,Alpsko smučanje,Alpsko smučanje,0.8823,0.0137
766476,Alpsko smučanje,Alpsko smučanje,0.7433,0.0142
767132,Alpsko smučanje,Alpsko smučanje,0.6731,0.0142
758133,Nogomet,Biatlon,0.1977,0.0015
733430,Biatlon,Biatlon,0.5502,0.0027
676691,Kolesarstvo,Biatlon,0.502,0.0034
728591,Biatlon,Biatlon,0.7739,0.0035
707741,Kolesarstvo,Biatlon,0.2811,0.0036
729798,Drugo,Biatlon,0.2829,0.0036
746108,Kolesarstvo,Biatlon,0.52,0.0038
728623,Košarka,Rokomet,0.6539,0.0001
715347,Nogomet,Rokomet,0.2395,0.0002
714947,Nogomet,Rokomet,0.4407,0.0003
712013,Nogomet,Rokomet,0.3819,0.0004
736718,Rokomet,Rokomet,0.5289,0.0004
763860,Rokomet,Rokomet,0.7086,0.0005
722174,Košarka,Rokomet,0.4077,0.0006
770326,Rokomet,Rokomet,0.7591,0.0006
667821,Košarka,Rokomet,0.2836,0.0006
